,log_return,volume_zscore_20,volume_zscore_60,volume_ratio_20,volume_spike,vp_position,vp_width_pct,vp_above_va,dist_to_sma_20,dist_to_sma_50,dist_to_sma_200,dist_to_ema_20,dist_to_ema_50,sma_20_slope_norm,sma_50_slope_norm,momentum_10,momentum_20,rsi_14,price_position_ma,trend_signal,trend_strength,day_of_week,day_of_month,week_of_month,is_month_end,is_month_start,overnight_gap,overnight_gap_zscore,rv_5d,rv_10d,rv_20d,rv_30d,rv_60d,ewma_vol_10d,ewma_vol_20d,parkinson_vol_10d,parkinson_vol_20d,gk_vol_10d,gk_vol_20d,vol_ratio_5_20,vol_ratio_park_rv,vol_ratio_20_60,up_vol_20d,down_vol_20d,vol_asymmetry_20d,vol_momentum_5d,vol_momentum_10d,beta_30d,correlation_30d,index_vol_30d,beta_60d,correlation_60d,index_vol_60d,beta_change,ivr,opm,vds,pocs,irr,hvc,sector_encoded,liquidity_rank,is_blue_chip,lot_size_log
log_return,1.0,0.018319976643795553,0.015141773686436861,0.010706161186466143,0.02116557358968424,0.06909701665201816,-0.036963871125807575,0.2627580887277025,0.3602054491908597,0.23283265391063976,0.11238035119544647,0.3987219820362337,0.2588021700532145,0.047777280802333955,0.044571586094590436,0.3072520563202531,0.2254131301462206,0.21533352820112772,0.18787172499952898,0.02932537923584956,-0.0001768238377515757,-0.012461185371434017,-0.008828775316685264,-0.0031627107914572565,0.026535162657578652,0.01632070843138111,0.35389225802774454,0.2619347039575916,-0.12644688935524262,-0.0822002596470345,-0.0724164818654484,-0.05905376913534017,-0.04766075553538911,-0.12122838992191139,-0.09766338931970871,-0.07402401076341836,-0.06539065609243368,-0.06129282295412342,-0.05836059331051098,-0.012686859085101998,-0.007847166077735713,-0.011710942083891483,0.06970020678244963,-0.12996799230521047,-0.18793330845100117,-0.17319881303220935,-0.10123332199914789,0.011422511563586034,-0.001513686215162723,-0.04281797019882137,0.018150523885415402,0.0006681178006398972,-0.03616800978595837,0.0011507516423887876,-0.5042799907029354,0.24978135058324566,0.37743826666259295,0.027017597602228008,-0.10187208401716748,0.006526347382083311,-0.007963032641547024,-0.002126077868787029,-0.00030924631177078036,-0.005349034609729403
volume_zscore_20,0.018319976643795553,1.0,0.8660648652362203,0.8906771536753367,0.6736040657043906,0.0656950779305015,-0.03060267896687015,0.0631862117919851,0.04823740281195186,0.036916002513804204,0.0055215527362830275,0.047255406990140206,0.03331425552924382,0.012924662091829076,0.018289385824745173,0.020806505901521485,0.028543800786145285,0.03846344027670214,0.04513650664389022,-0.0033377466869600214,-0.06261203000356756,-0.14019272315984957,0.03388404512816439,0.02991819598693502,0.011532339042390864,-0.020410130580362323,-0.04853062092510426,-0.021441116591768308,0.1372169672661847,0.04637521283226792,-0.03390242444594045,-0.045079982538734784,-0.040777822883592926,0.08441613671670918,0.01757956160192701,0.030528328980458284,-0.047435830267595035,0.018122971008910638,-0.05508219136641016,0.32535156765327544,-0.025507151491517086,0.004853716295039643,-0.02845170694323225,-0.03580149978428743,0.004852402277123323,0.18604777035001582,0.09688608288610999,-0.007399641421394495,0.01596384344586971,-0.05280955489951249,-0.007015761721267972,-0.003213429319322436,-0.04134905479409829,0.006571868957243428,0.351095040083586,0.002026119055487284,0.011678022103363902,0.1364304679470559,0.04607512604730731,-0.14846869686856726,0.0006881093793050408,-0.002004806209335487,0.0005436614481269833,-0.011238281382386642
volume_zscore_60,0.015141773686436861,0.8660648652362203,1.0,0.8574371675698401,0.623439997376393,0.10019407081135635,0.017769512475880416,0.09597279063488087,0.08160381535350274,0.08737986777698473,0.01609002198388482,0.08061219222092131,0.07642760785905463,0.02819627636989095,0.030606937690397972,0.04013793833941978,0.06480221644345502,0.08474180524379885,0.0896913515759603,0.041817724914467856,0.0003506958340218842,-0.12507648707926125,0.02295591859958962,0.018064148167991238,0.010535927459370225,-0.009499218359355292,-0.061322730713548476,-0.022525999722219584,0.21118140507601196,0.12887721622813836,0.04395329589456239,-0.00025087957335246855,-0.06015634025865375,0.16639653194643794,0.08468282208847712,0.11175418920933648,0.022467502133242986,0.0965819704594122,0.009907254888868317,0.30933660180493416,-0.0876583497474022,0.2254789851488818,0.06995677511058507,0.014605886764071778,0.005147310421895702,0.2478781312999815,0.18472462948810445,0.034523937580191684,0.012499005272681699,-0.06296943465521682,0.019148415359603745,-0.0005551398928337954,-0.10058651051903851,-0.030860959375290292,0.3904542033874819,-0.0008738026237271597,0.011884620060474508,0.10152950404495037,0.054564770659749295,-0.108673532979007,0.003472855371480239,0.0046465035055023125,-0.010198476079731723,-0.014864390322280591
volume_ratio_20,0.010706161186466143,0.8906771536753367,0.8574371675698401,1.0,0.6572596485116412,0.08931999406124638,-0.042345918057349954,0.08049677298239384,0.07846077508043699,0.06402727682949563,0.015017718448986259,0.0778559299921364,0.058369213602827395,0.029106127053586398,0.02618500771084868,0.036803268150358344,0.04834522894592413,0.055805886939380024,0.05911244121864282,0.0027173576204973984,-0.07527683550692024,-0.13884137237543653,0.025238498996725586,0.02433480936602077,0.004563292343662942,-0.009524398102755809,-0.04344736169673827,-0.014612452914909294,0.17080758215188677,0.0644563058341217,-0.03502072645458623,-0.04578318257597481,-0.04293438235634716,0.10677820746966056,0.028883392806080817,0.04349788642071515,-0.05242330717452387,0.027266090182215874,-0.06289483470905251,0.3306157657437484,-0.027586023689434143,0.00819234557413231,-0.023201413535462668,-0.04260961874938882,0.006577648878317267,0.241355739824315,0.12379338884439313,-2.385154027295767e-05,0.013204245566276461,-0.07049372984335443,0.0028551232760776844,-0.004776549268944845,-0.055501737309035036,0.006555282256036365,0.4502479174443639,0.0033148583207318356,0.0042476122234555444,0.11772135403614475,0.048098226913173454,-0.14480980656721135,0.009714133440823306,0.011899978769892666,-0.012130138674042416,-0.008251403771116416
volume_spike,0.02116557358968424,0.6736040657043906,0.623439997376393,0.6572596485116412,1.0,-0.03373287840816549,-0.018567662234832957,0.028115036240510774,0.032555787636961646,0.02291702309533201,-0.000502532305229397,0.031802088335837767,0.019263471928359602,0.006698671572966771,0.005838237692404088,0.015454589710750928,0.01586053112240887,0.025563833801176827,0.031474638725330545,-0.004865745791789153,-0.025872756916374147,-0.0316343375123192,0.008534663169048303,0.0048460839463824595,-0.0006125464796663364,-0.005485682389726738,-0.03352674352389493,-0.025212280978348676,0.09570256345201303,0.04279919382072346,-0.001913560391255259,-0.008861844321688881,-0.0064184373772193225,0.07166939124645928,0.031588185559610536,0.03559763005986409,-0.0063410495425899995,0.028353692134178144,-0.01009988589559709,0.19019408094078466,-0.01368566990424642,0.01131598681830254,0.0040965429672079725,-0.006973731548291487,0.005087859825695169,0.12794878029743925,0.061190239823222706,-0.010947210762459903,0.010515999765571573,-0.017492982217550246,-0.005545491199196489,0.004240103330068641,-0.010098982587086207,0.011573967992900365,0.24677773966224376,0.00027796927552365444,0.018929325549079768,0.05579498120240214,0.09776837843003283,0.06877022008474427,0.005451382115851241,0.008583982072951074,-0.008215711889865,-0.003825292282700083
vp_position,0.06909701665201816,0.0656950779305015,0.10019407081135635,0.08931999406124638,-0.03373287840816549,1.0,-0.10758427185009216,0.33416592876305434,0.13987890904369446,0.11147012993078541,0.06969223109329394,0.13964922474012856,0.11898641098949204,0.061847029038113836,0.04801331384372295,0.1251000417170321,0.11050249886819803,0.20368647582813573,0.18888818609089905,0.08245151244342395,-0.047037423167594954,-0.020510155103089654,-0.007014569169548775,-0.006487189812106812,-0.0006186304602174222,0.0019114885871866255,0.040073504956873084,0.04280127207978148,-0.08224904764656245,-0.08532075587641196,-0.08713448615505094,-0.08912042086821485,-0.0943113969511063,-0.09166267162070525,-0.09514172403623056,-0.12340435726042087,-0.12399766723740656,-0.12919716903379702,-0.1305336294891381,-0.025957470010491833,-0.13802737284131994,-0.008959518036570711,-0.06787673020508848,-0.08159601657800707,-0.06782032653926494,-0.03378817453423749,-0.03289531204975695,0.011897979774599918,-0.0701102151018165,-0.1418202663151282,0.05058594983155625,-0.023281277383654868,-0.12133191759824002,0.033274823522554994,-0.10280437310148281,0.1135572487353064,0.1881819720321405,-0.05020065644849487,-0.045096437159083916,0.01574304454062425,-0.02508821446113157,-0.026584482311024706,0.01278692224978524,-0.034542816165361256
vp_width_pct,-0.036963871125807575,-0.03060267896687015,0.017769512475880416,-0.042345918057349954,-0.018567662234832957,-0.10758427185009216,1.0,-0.0915736897741199,-0.3255707379809045,-0.2988103154894418,-0.243690269815725,-0.379925507245461,-0.32163233659092283,-0.7875897275900388,-0.5529555083651584,-0.321951466507681,-0.47054039883841975,-0.0938709763191825,-0.09573904562359402,-0.10186984065469118,0.4298533831257323,0.0010980376748987053,-0.00581411400286431,-0.008285407413290315,0.00929991957400374,0.01133816187527642,0.025650664782314172,0.012630805585602256,0.4438542391313828,0.6270604049406878,0.8105307206356527,0.7252672307125813,0.5499020556453701,0.7021077169108516,0.7642225938464978,0.5736134765377918,0.7004257895165441,0.5034915703107613,0.5969332891923932,-0.04180041500533108,-0.09561038298040808,0.24411306693945614,0.3645577032537158,0.8460182880227639,0.7300781797307289,0.29506925200238227,0.4900707163211013,0.15432920633342578,0.042826118388550376,0.31472371830050455,0.1002824771650069,0.034559095038298855,0.25224426840758407,-0.11849873969418602,0.086203895156304,-0.02969328720868486,-0.012362088976881536,-0.022337551770064457,0.016651056836702163,0.014985929972367695,0.05348133258740041,0.07146020026874782,-0.060347595323745784,-0.039160605909900115
vp_above_va,0.2627580887277025,0.0631862117919851,0.09597279063488087,0.08049677298239384,0.028115036240510774,0.33416592876305434,-0.0915736897741199,1.0,0.6483412976573562,0.5042841288854957,0.27829156277686407,0.6300445204934996,0.5228492426330543,0.26103497154329425,0.18415300556419348,0.583626201353044,0.4931425559804851,0.722135124284967,0.6480918041580384,0.21083088477235973,0.0004490645040365936,-0.03683027882877677,-0.016369571859915704,-0.017561270057233052,-0.011052159864692773,-0.0019085707839865918,0.10219893087036651,0.10233349522682891,-0.09147256993252122,-0.0889646486130985,-0.07626464742194543,-0.06738875946389176,-0.0738701935854451,-0.09834410385932665,-0.09299052809534795,-0.11797114250530712,-0.09681842868997045,-0.12650723037806613,-0.10350937329941808,-0.04950466550414054,-0.078883734663374,0.0028470561283954463,0.109589128593314,-0.16748013077947405,-0.2769682344353187,-0.07574333863990376,-0.08263460967105982,0.016406849899878582,-0.05132174412408997,-0.0961735591598958,0.05357639961556068,-0.008749324148196652,-0.08906593757596172,0.03079050613453713,-0.03770761305183586,0.09950550781672612,0.16773078568949623,-0.053848337767849544,-0.033623835175703574,0.01986754626673991,-0.023271092889506864,-0.025226179696400914,0.012605197746187714,-0.033769845300034546
dist_to_sma_20,0.3602054491908597,0.04823740281195186,0.08160381535350274,0.07846077508043699,0.032555787636961646,0.13987890904369446,-0.3255707379809045,0.6483412976573562,1.0,0.817062282951497,0.4317906697739629,0.9723416162031671,0.8269296232909085,0.5841829929821749,0.39527158858133926,0.893161129188442,0.849270804297051,0.7854567792297503,0.6603193186819735,0.29584248311064515,-0.06015225022714219,-0.028097398612218896,-0.014933139517457493,-0.013288852634973243,-0.02142059088105208,-0.013978426782034243,0.16350158939595638,0.11604826782324097,-0.2676169384796435,-0.2991782323423771,-0.29230948946727403,-0.2425341112170938,-0.18888236814944567,-0.3271305012101293,-0.3111596538109023,-0.3179149279632205,-0.2908493687096043,-0.31298054703792455,-0.2791326365386227,-0.06267308367042591,-0.029661653127172245,-0.08345724587843532,0.14573155316143255,-0.47054501304965346,-0.5502447771912897,-0.22374717057719865,-0.28411113564337365,-0.017150152271647918,-0.10814143595807202,-0.26394021508517196,0.024104884836902107,-0.07450806924423971,-0.21450697170769348,0.05301949957258427,-0.15262893599042188,0.11994432073716318,0.14730661934652986,-0.04122008988943598,-0.040247387092851,0.025009692499426712,-0.024973766678485006,-0.002910369731279821,-0.006144848061050273,-0.025559413002628907
dist_to_sma_50,0.23283265391063976,0.036916002513804204,0.08737986777698473,0.06402727682949563,0.02291702309533201,0.11147012993078541,-0.2988103154894418,0.5042841288854957,0.817062282951497,1.0,0.6563130218116774,0.8870329480774102,0.9739967602224492,0.626274208031043,0.6520384298651839,0.6696999106617795,0.8449156270576921,0.6597231005728924,0.704836923326728,0.6438308372810114,-0.159913530713124,-0.02611892543377922,-0.008263883733124644,-0.006044207856356354,-0.01411679003737215,-0.00766041556641167,0.09496564402799314,0.05201090659696296,-0.21647602718297554,-0.2571301842360993,-0.30998910946080466,-0.3325808430277637,-0.3085802421440421,-0.29951115620749746,-0.3437614882515966,-0.2850851503654541,-0.32714421301264873,-0.28483167181865404,-0.32356576434529377,-0.019390511876575495,-0.009757554649396299,-0.06661989865126963,0.07232046120400987,-0.46064700072545195,-0.469195566156592,-0.1291848611202284,-0.18046094052276265,-0.029325846801252296,-0.20721213198580435,-0.3972327295763659,0.0065669894765314615,-0.15159918627240357,-0.3522054044546291,0.05462931904654687,-0.11393776001138513,0.0812328035379996,0.09773550457958949,-0.03494316282534108,-0.031240590293966895,0.017927671215896182,-0.030892565732398288,0.006644351582057774,-0.019981075590835014,-0.04290212383601523
